lr,bs,GRT,GRS,health
3e-7,16,0.9335046410560608,2.213509927315211,0.4045812984496124
3e-7,32,0.8272889256477356,0.9674648514943986,0.3082913759689923
3e-7,64,0.6955937743186951,-0.0903050195795918,0.23264186046511617
3e-7,128,0.5917148590087891,-1.0388755035685904,0.0
3e-7,256,0.5017730593681335,-1.879772578710236,0.0
3e-6,16,0.8476307392120361,2.213509927315211,0.710268507751938
3e-6,32,0.7225342392921448,0.9674648514943986,0.6717796511627907
3e-6,64,0.6112451553344727,-0.0903050195795918,0.6222955426356588
3e-6,128,0.5336712002754211,-1.0388755035685904,0.20278585271317828
3e-6,256,0.4627878665924072,-1.879772578710236,0.0
3e-5,16,1.2040449380874634,2.213509927315211,0.8271962209302326
3e-5,32,1.1641511917114258,0.9674648514943986,0.8172648255813953
3e-5,64,1.0973726511001587,-0.0903050195795918,0.8034437015503875
3e-5,128,1.1099982261657715,-1.0388755035685904,0.5803455426356587
3e-5,256,1.0945676565170288,-1.879772578710236,0.16697529069767442
3e-4,16,1.3590459823608398,2.213509927315211,0.7159653100775194
3e-4,32,1.3441689014434814,0.9674648514943986,0.768998449612403
3e-4,64,1.381800889968872,-0.0903050195795918,0.7988808139534882
3e-4,128,1.406562328338623,-1.0388755035685904,0.6350964147286821
3e-4,256,1.3616198301315308,-1.879772578710236,0.339559980620155
3e-3,16,2.6400203704833984,2.213509927315211,0.007575000000000004
3e-3,32,2.5425055027008057,0.9674648514943986,0.007579844961240304
3e-3,64,2.6879379749298096,-0.0903050195795918,0.007570833333333328
3e-3,128,2.730738639831543,-1.0388755035685904,0.0
3e-3,256,2.677797555923462,-1.879772578710236,0.0
