lr,bs,GRT,GRS,health
1e-5,32,1.0441036224365234,1.938021321353148,0.622187
1e-5,64,0.9484188556671143,1.0762274133362295,0.597426
1e-5,128,0.8480625152587891,0.6295358914213904,0.572084
0.0001,32,1.3665624856948853,1.938021321353148,0.672492
0.0001,64,1.331437110900879,1.0762274133362295,0.657799
0.0001,128,1.266749620437622,0.6295358914213904,0.636711
0.001,32,2.5241234342132414,1.938021321353148,0.323355
0.001,64,2.0132017135620117,1.0762274133362295,0.402148
0.001,128,1.5087178945541382,0.6295358914213904,0.0119366
