lr,bs,GRT,GRS,health
1e-05,2,0.6775246858596802,2.6532164992769087,0.4237189285714287
1e-05,4,0.5875003933906555,1.3183506868107937,0.3775994642857144
1e-05,8,0.4886591136455536,0.49394416517167006,0.3443658928571429
1e-05,16,0.4132724702358246,-0.5203233314495437,0.31163257042253517
1e-05,32,0.35204562544822693,-1.4300591545844459,0.2714748263888889
0.0001,2,0.6782456636428833,2.6532164992769087,0.6879460714285714
0.0001,4,0.584654688835144,1.3183506868107937,0.6387242857142856
0.0001,8,0.5107648968696594,0.49394416517167006,0.5904839285714285
0.0001,16,0.5842013359069824,-0.5203233314495437,0.5523403169014084
0.0001,32,0.7197045683860779,-1.4300591545844459,0.5079430555555555
0.001,2,0.825461745262146,2.6532164992769087,0.7251564285714285
0.001,4,0.9209564924240112,1.3183506868107937,0.7771660714285714
0.001,8,1.1070842742919922,0.49394416517167006,0.8019764285714283
0.001,16,1.1516172885894775,-0.5203233314495437,0.8070447183098591
0.001,32,1.2035839557647705,-1.4300591545844459,0.7947972222222223
0.01,2,1.2387343645095825,2.6532164992769087,0.0032246428571428565
0.01,4,1.2618316411972046,1.3183506868107937,0.003681785714285714
0.01,8,1.259990930557251,0.49394416517167006,0.0029474999999999996
0.01,16,1.1845508813858032,-0.5203233314495437,0.007594014084507042
0.01,32,1.5786033868789673,-1.4300591545844459,0.010421875
